Method,Name,Error,Occurrences
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 156'),45
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 357'),42
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 342'),40
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 364'),37
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 388'),41
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 133'),33
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 385'),45
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 139'),39
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 147'),33
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 222'),52
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 183'),38
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 174'),43
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 104'),32
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 195'),45
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 386'),41
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 112'),39
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 397'),42
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 198'),40
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 146'),32
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 329'),55
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 207'),48
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 245'),40
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 285'),39
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 171'),34
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 321'),33
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 169'),28
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 184'),43
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 218'),41
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 216'),48
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 344'),30
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 239'),32
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 343'),37
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 320'),48
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 170'),39
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 249'),41
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 175'),40
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 293'),47
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 151'),32
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 224'),42
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 258'),46
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 315'),43
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 145'),41
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 168'),32
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 152'),37
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 141'),36
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 346'),36
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 182'),48
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 251'),24
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 225'),39
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 113'),31
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 354'),35
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 190'),46
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 254'),33
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 333'),35
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 273'),44
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 367'),31
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 127'),32
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 276'),39
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 260'),40
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 396'),37
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 105'),41
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 217'),45
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 200'),48
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 223'),46
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 384'),40
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 265'),32
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 142'),33
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 281'),32
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 274'),34
GET,REST - Listar Músicas de Playlist,CatchResponseError('Status code: 404 for playlist 103'),41
